Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Quick Sort Pivo Aleatorio,Aleatorio,2150,294,0,82085,11885
Quick Sort Pivo Aleatorio,Aleatorio,2160,273,0,83970,10430
Quick Sort Pivo Aleatorio,Aleatorio,2170,334,0,84212,10122
Quick Sort Pivo Aleatorio,Aleatorio,2180,318,0,87379,12560
Quick Sort Pivo Aleatorio,Aleatorio,2190,351,0,76148,10439
Quick Sort Pivo Aleatorio,Aleatorio,2200,276,0,81226,10743
Quick Sort Pivo Aleatorio,Aleatorio,2210,303,0,86587,11942
Quick Sort Pivo Aleatorio,Aleatorio,2220,367,0,92954,13704
Quick Sort Pivo Aleatorio,Aleatorio,2230,388,0,88904,10570
Quick Sort Pivo Aleatorio,Aleatorio,2240,334,0,92967,11993
Quick Sort Pivo Aleatorio,Aleatorio,2250,452,0,86465,14001
Quick Sort Pivo Aleatorio,Aleatorio,2260,335,0,99860,11991
Quick Sort Pivo Aleatorio,Aleatorio,2270,306,0,114478,12490
Quick Sort Pivo Aleatorio,Aleatorio,2280,317,0,100055,11613
Quick Sort Pivo Aleatorio,Aleatorio,2290,321,0,95670,10190
Quick Sort Pivo Aleatorio,Aleatorio,2300,333,0,85008,10628
Quick Sort Pivo Aleatorio,Aleatorio,2310,322,0,102752,11228
Quick Sort Pivo Aleatorio,Aleatorio,2320,303,0,103114,10841
Quick Sort Pivo Aleatorio,Aleatorio,2330,334,0,90783,11177
Quick Sort Pivo Aleatorio,Aleatorio,2340,306,0,98805,11287
Quick Sort Pivo Aleatorio,Aleatorio,2350,349,0,96804,10238
Quick Sort Pivo Aleatorio,Aleatorio,2360,403,0,95736,11038
Quick Sort Pivo Aleatorio,Aleatorio,2370,402,0,100298,12903
Quick Sort Pivo Aleatorio,Aleatorio,2380,311,0,100775,10593
Quick Sort Pivo Aleatorio,Aleatorio,2390,328,0,104171,12575
Quick Sort Pivo Aleatorio,Aleatorio,2400,474,0,94631,15296
Quick Sort Pivo Aleatorio,Aleatorio,2410,417,0,99317,15617
Quick Sort Pivo Aleatorio,Aleatorio,2420,331,0,98395,10255
Quick Sort Pivo Aleatorio,Aleatorio,2430,412,0,104576,11659
Quick Sort Pivo Aleatorio,Aleatorio,2440,459,0,90209,14016
Quick Sort Pivo Aleatorio,Aleatorio,2450,330,0,97365,13409
Quick Sort Pivo Aleatorio,Aleatorio,2460,348,0,97096,12505
Quick Sort Pivo Aleatorio,Aleatorio,2470,328,0,112545,13734
Quick Sort Pivo Aleatorio,Aleatorio,2480,381,0,90041,12192
Quick Sort Pivo Aleatorio,Aleatorio,2490,482,0,105507,12778
Quick Sort Pivo Aleatorio,Aleatorio,2500,359,0,119785,11827
Quick Sort Pivo Aleatorio,Aleatorio,2510,369,0,103397,11877
Quick Sort Pivo Aleatorio,Aleatorio,2520,350,0,106163,13906
Quick Sort Pivo Aleatorio,Aleatorio,2530,397,0,109718,13590
Quick Sort Pivo Aleatorio,Aleatorio,2540,427,0,121218,13267
Quick Sort Pivo Aleatorio,Aleatorio,2550,342,0,112447,12803
Quick Sort Pivo Aleatorio,Aleatorio,2560,449,0,102105,13281
Quick Sort Pivo Aleatorio,Aleatorio,2570,350,0,106800,14086
Quick Sort Pivo Aleatorio,Aleatorio,2580,399,0,110359,14797
Quick Sort Pivo Aleatorio,Aleatorio,2590,379,0,122344,16216
Quick Sort Pivo Aleatorio,Aleatorio,2600,440,0,107990,13246
Quick Sort Pivo Aleatorio,Aleatorio,2610,361,0,114601,14372
Quick Sort Pivo Aleatorio,Aleatorio,2620,440,0,112118,14284
Quick Sort Pivo Aleatorio,Aleatorio,2630,430,0,122762,11317
Quick Sort Pivo Aleatorio,Aleatorio,2640,395,0,120932,12738
Quick Sort Pivo Aleatorio,Aleatorio,2650,416,0,113347,12788
Quick Sort Pivo Aleatorio,Aleatorio,2660,410,0,121603,16510
Quick Sort Pivo Aleatorio,Aleatorio,2670,359,0,120590,15012
Quick Sort Pivo Aleatorio,Aleatorio,2680,385,0,121113,13040
Quick Sort Pivo Aleatorio,Aleatorio,2690,493,0,127691,13054
Quick Sort Pivo Aleatorio,Aleatorio,2700,408,0,114637,17210
Quick Sort Pivo Aleatorio,Aleatorio,2710,486,0,113308,14524
Quick Sort Pivo Aleatorio,Aleatorio,2720,397,0,111087,14412
Quick Sort Pivo Aleatorio,Aleatorio,2730,570,0,133175,12950
Quick Sort Pivo Aleatorio,Aleatorio,2740,435,0,124792,15111
Quick Sort Pivo Aleatorio,Aleatorio,2750,402,0,128027,13701
Quick Sort Pivo Aleatorio,Aleatorio,2760,601,0,126583,14143
Quick Sort Pivo Aleatorio,Aleatorio,2770,435,0,125335,12789
Quick Sort Pivo Aleatorio,Aleatorio,2780,389,0,107131,16510
Quick Sort Pivo Aleatorio,Aleatorio,2790,420,0,123037,12719
Quick Sort Pivo Aleatorio,Aleatorio,2800,481,0,137373,12853
Quick Sort Pivo Aleatorio,Aleatorio,2810,410,0,126728,13054
Quick Sort Pivo Aleatorio,Aleatorio,2820,380,0,130433,15180
Quick Sort Pivo Aleatorio,Aleatorio,2830,426,0,138941,16671
Quick Sort Pivo Aleatorio,Aleatorio,2840,432,0,133483,14060
Quick Sort Pivo Aleatorio,Aleatorio,2850,443,0,127160,14907
Quick Sort Pivo Aleatorio,Aleatorio,2860,509,0,129099,16744
Quick Sort Pivo Aleatorio,Aleatorio,2870,426,0,130912,14840
Quick Sort Pivo Aleatorio,Aleatorio,2880,520,0,131808,18865
Quick Sort Pivo Aleatorio,Aleatorio,2890,431,0,118455,14966
Quick Sort Pivo Aleatorio,Aleatorio,2900,443,0,119749,15782
Quick Sort Pivo Aleatorio,Aleatorio,2910,576,0,134008,16457
Quick Sort Pivo Aleatorio,Aleatorio,2920,548,0,131308,17039
Quick Sort Pivo Aleatorio,Aleatorio,2930,452,0,135431,13948
Quick Sort Pivo Aleatorio,Aleatorio,2940,505,0,131287,17979
Quick Sort Pivo Aleatorio,Aleatorio,2950,493,0,142260,18347
Quick Sort Pivo Aleatorio,Aleatorio,2960,436,0,144789,17974
