Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Quick Sort Pivo Fixo,aleatorio,2640,306,0,33309,19820
Quick Sort Pivo Fixo,aleatorio,2650,310,0,34514,20432
Quick Sort Pivo Fixo,aleatorio,2660,305,0,35291,21561
Quick Sort Pivo Fixo,aleatorio,2670,301,0,33125,18762
Quick Sort Pivo Fixo,aleatorio,2680,286,0,33511,16772
Quick Sort Pivo Fixo,aleatorio,2690,378,0,36143,20946
Quick Sort Pivo Fixo,aleatorio,2700,229,0,34783,17882
Quick Sort Pivo Fixo,aleatorio,2710,314,0,35453,22251
Quick Sort Pivo Fixo,aleatorio,2720,237,0,34502,21584
Quick Sort Pivo Fixo,aleatorio,2730,308,0,34328,20668
Quick Sort Pivo Fixo,aleatorio,2740,302,0,37124,19271
Quick Sort Pivo Fixo,aleatorio,2750,323,0,40824,23058
Quick Sort Pivo Fixo,aleatorio,2760,294,0,35369,18750
Quick Sort Pivo Fixo,aleatorio,2770,306,0,34314,19110
Quick Sort Pivo Fixo,aleatorio,2780,305,0,35724,20993
Quick Sort Pivo Fixo,aleatorio,2790,289,0,37516,20348
Quick Sort Pivo Fixo,aleatorio,2800,243,0,38274,17269
Quick Sort Pivo Fixo,aleatorio,2810,282,0,37279,19146
Quick Sort Pivo Fixo,aleatorio,2820,322,0,38039,20436
Quick Sort Pivo Fixo,aleatorio,2830,319,0,35141,18810
Quick Sort Pivo Fixo,aleatorio,2840,324,0,37993,23011
Quick Sort Pivo Fixo,aleatorio,2850,287,0,39442,20338
Quick Sort Pivo Fixo,aleatorio,2860,315,0,37813,20322
Quick Sort Pivo Fixo,aleatorio,2870,351,0,44109,25738
Quick Sort Pivo Fixo,aleatorio,2880,321,0,36744,21429
Quick Sort Pivo Fixo,aleatorio,2890,337,0,39806,24161
Quick Sort Pivo Fixo,aleatorio,2900,325,0,37994,20751
Quick Sort Pivo Fixo,aleatorio,2910,321,0,36697,20894
Quick Sort Pivo Fixo,aleatorio,2920,310,0,37781,20343
Quick Sort Pivo Fixo,aleatorio,2930,271,0,39506,20700
Quick Sort Pivo Fixo,aleatorio,2940,333,0,36407,21838
Quick Sort Pivo Fixo,aleatorio,2950,286,0,37866,19499
Quick Sort Pivo Fixo,aleatorio,2960,268,0,43549,23169
Quick Sort Pivo Fixo,aleatorio,2970,457,0,38165,21679
Quick Sort Pivo Fixo,aleatorio,2980,332,0,40708,20320
Quick Sort Pivo Fixo,aleatorio,2990,327,0,44179,21720
Quick Sort Pivo Fixo,aleatorio,3000,340,0,40712,23353
Quick Sort Pivo Fixo,aleatorio,3010,260,0,40412,19623
Quick Sort Pivo Fixo,aleatorio,3020,334,0,39705,23526
Quick Sort Pivo Fixo,aleatorio,3030,335,0,38438,20262
Quick Sort Pivo Fixo,aleatorio,3040,336,0,38067,20197
Quick Sort Pivo Fixo,aleatorio,3050,449,0,40153,24544
Quick Sort Pivo Fixo,aleatorio,3060,339,0,41077,21880
Quick Sort Pivo Fixo,aleatorio,3070,340,0,40056,21574
Quick Sort Pivo Fixo,aleatorio,3080,362,0,40857,24508
Quick Sort Pivo Fixo,aleatorio,3090,358,0,42242,23110
Quick Sort Pivo Fixo,aleatorio,3100,355,0,43991,24473
Quick Sort Pivo Fixo,aleatorio,3110,274,0,41576,22619
Quick Sort Pivo Fixo,aleatorio,3120,347,0,38305,21981
Quick Sort Pivo Fixo,aleatorio,3130,277,0,44399,22614
Quick Sort Pivo Fixo,aleatorio,3140,371,0,44528,25992
Quick Sort Pivo Fixo,aleatorio,3150,367,0,44764,23808
Quick Sort Pivo Fixo,aleatorio,3160,349,0,42206,21700
Quick Sort Pivo Fixo,aleatorio,3170,276,0,41547,20985
Quick Sort Pivo Fixo,aleatorio,3180,371,0,40609,23887
Quick Sort Pivo Fixo,aleatorio,3190,355,0,41474,25972
Quick Sort Pivo Fixo,aleatorio,3200,429,0,42354,23581
Quick Sort Pivo Fixo,aleatorio,3210,356,0,39952,22893
Quick Sort Pivo Fixo,aleatorio,3220,318,0,40468,24081
Quick Sort Pivo Fixo,aleatorio,3230,318,0,42468,21686
Quick Sort Pivo Fixo,aleatorio,3240,321,0,44308,24131
Quick Sort Pivo Fixo,aleatorio,3250,362,0,41620,23941
Quick Sort Pivo Fixo,aleatorio,3260,367,0,42243,22830
Quick Sort Pivo Fixo,aleatorio,3270,292,0,41154,24397
Quick Sort Pivo Fixo,aleatorio,3280,371,0,44820,24407
Quick Sort Pivo Fixo,aleatorio,3290,442,0,41448,23439
Quick Sort Pivo Fixo,aleatorio,3300,376,0,42420,25385
Quick Sort Pivo Fixo,aleatorio,3310,328,0,43035,22050
Quick Sort Pivo Fixo,aleatorio,3320,390,0,43452,24619
Quick Sort Pivo Fixo,aleatorio,3330,372,0,43765,24298
Quick Sort Pivo Fixo,aleatorio,3340,298,0,41400,23100
Quick Sort Pivo Fixo,aleatorio,3350,370,0,40123,21565
Quick Sort Pivo Fixo,aleatorio,3360,301,0,43562,21926
Quick Sort Pivo Fixo,aleatorio,3370,380,0,43267,23540
Quick Sort Pivo Fixo,aleatorio,3380,388,0,43847,22703
Quick Sort Pivo Fixo,aleatorio,3390,401,0,48031,26458
Quick Sort Pivo Fixo,aleatorio,3400,463,0,45995,27344
Quick Sort Pivo Fixo,aleatorio,3410,373,0,42577,24201
